index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
0,Calle de los castillejos,1,es,,flat,Eixample,False,142VE323SAC1P,en,True,False,True,False,False,41.408614,2.1764035,Barcelona,La Sagrada Família,False,,17,sale,,,,310000.0,3690.0,36181574,flat,Barcelona,3,False,84.0,,"La Sagrada Família, Barcelona",Piso en Calle de los castillejos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/7c/26/214229017.jpg,https://www.idealista.com/inmueble/36181574/
1,Calle Industria,2,es,,flat,Gràcia,True,thr651,1,False,False,True,True,False,41.4004847,2.1630338,Barcelona,El Camp d'En Grassot i Gràcia Nova,False,,26,sale,,,,430000.0,4725.0,88279062,flat,Barcelona,3,False,91.0,good,"El Camp d'En Grassot i Gràcia Nova, Barcelona",Piso en Calle Industria,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/67/af/743115492.jpg,https://www.idealista.com/inmueble/88279062/
2,barrio Diagonal Mar i el Front Marítim del Poblenou,2,es,,flat,Sant Martí,True,2981V,4,False,False,True,False,True,41.4074271,2.2154318,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,20,sale,True,True,,930000.0,6643.0,88278867,flat,Barcelona,3,False,140.0,good,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/45/69/743112085.jpg,https://www.idealista.com/inmueble/88278867/
3,Calle de Sepúlveda,2,es,,flat,Eixample,True,33017,1,False,False,True,False,False,41.3791686,2.1606339,Barcelona,Sant Antoni,False,,16,sale,,,,385000.0,4185.0,88278821,flat,Barcelona,4,False,92.0,renew,"Sant Antoni, Barcelona",Piso en Calle de Sepúlveda,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/17/86/743111069.jpg,https://www.idealista.com/inmueble/88278821/
4,Calle Córcega,1,es,penthouse,flat,Eixample,True,ático Corcega,8,False,False,True,True,True,41.385031,2.1426363,Barcelona,La Nova Esquerra de l'Eixample,False,,24,sale,,,,470000.0,5875.0,88278757,penthouse,Barcelona,2,False,80.0,good,"La Nova Esquerra de l'Eixample, Barcelona",Ático en Calle Córcega,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/3b/5e/743109114.jpg,https://www.idealista.com/inmueble/88278757/
5,"Calle de Santa Rosalia, 41",1,es,,flat,Horta Guinardó,True,60442210,st,False,False,True,False,False,41.4215609,2.1459462,Barcelona,La Teixonera,False,,12,sale,,,,84400.0,1688.0,81804611,flat,Barcelona,1,True,50.0,renew,"La Teixonera, Barcelona","Piso en Calle de Santa Rosalia, 41",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/26/f9/748401669.jpg,https://www.idealista.com/inmueble/81804611/
6,Calle del Taulat,3,es,duplex,flat,Sant Martí,True,VB2001011,bj,False,False,False,True,False,41.3989346,2.2025125,Barcelona,El Poblenou,False,,30,sale,,,,625000.0,4433.0,88277691,duplex,Barcelona,4,False,141.0,good,"El Poblenou, Barcelona",Dúplex en Calle del Taulat,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bd/a8/ba/761793961.jpg,https://www.idealista.com/inmueble/88277691/
7,Calle de les Escoles Pies,2,es,,flat,Sarrià-Sant Gervasi,True,V-PM-ESCOLES-2.3,2,False,False,True,True,False,41.4024386,2.1300191,Barcelona,Les Tres Torres,False,,20,sale,,,,570000.0,5816.0,88277802,flat,Barcelona,2,False,98.0,good,"Les Tres Torres, Barcelona",Piso en Calle de les Escoles Pies,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/5c/15/743089118.jpg,https://www.idealista.com/inmueble/88277802/
8,Calle de les Escoles Pies,1,es,,flat,Sarrià-Sant Gervasi,True,V-ESCOLES-1.1,1,False,False,True,True,False,41.3989386,2.1321191,Barcelona,Les Tres Torres,False,,20,sale,,,,550000.0,6111.0,88277799,flat,Barcelona,3,False,90.0,good,"Les Tres Torres, Barcelona",Piso en Calle de les Escoles Pies,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/da/08/743089077.jpg,https://www.idealista.com/inmueble/88277799/
9,Calle Viladomat,2,es,,flat,Eixample,True,VV44-B,5,False,False,True,True,True,41.3868217,2.1482007,Barcelona,La Nova Esquerra de l'Eixample,False,,20,sale,,,,390000.0,4756.0,40544281,flat,Barcelona,2,False,82.0,good,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Calle Viladomat,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/e2/81/572825647.jpg,https://www.idealista.com/inmueble/40544281/
