index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
0,Calle de Robrenyo,1,es,,flat,Sants-Montjuïc,True,V161,2,False,False,True,False,False,41.3789861,2.1352057,Barcelona,Sants,False,,20,sale,,,,350000.0,3500.0,88695718,flat,Barcelona,3,False,100.0,good,"Sants, Barcelona",Piso en Calle de Robrenyo,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/30/e6/752925457.jpg,https://www.idealista.com/inmueble/88695718/
1,"Calle de la Reina Amàlia, 37",1,es,,flat,Ciutat Vella,True,B13202-M,1,False,False,True,True,False,41.3764601,2.1681054,Barcelona,El Raval,False,,18,sale,,,,370000.0,3895.0,88695531,flat,Barcelona,2,True,95.0,good,"El Raval, Barcelona","Piso en Calle de la Reina Amàlia, 37",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/aa/eb/752921936.jpg,https://www.idealista.com/inmueble/88695531/
2,"Gran Via de les Corts Catalanes, 413",2,es,,flat,Eixample,True,B13204-M,2,False,False,True,False,False,41.3775343,2.152027,Barcelona,La Nova Esquerra de l'Eixample,False,,20,sale,,,,380000.0,3800.0,88695533,flat,Barcelona,5,True,100.0,good,"La Nova Esquerra de l'Eixample, Barcelona","Piso en Gran Via de les Corts Catalanes, 413",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/09/0b/82/752922006.jpg,https://www.idealista.com/inmueble/88695533/
3,barrio Sant Pere - Santa Caterina i la Ribera,2,es,,flat,Ciutat Vella,True,P-715,1,False,False,True,False,False,41.3843791,2.1812198,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,14,sale,,,,830000.0,5497.0,87346657,flat,Barcelona,2,False,151.0,good,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/01/98/93/718401024.jpg,https://www.idealista.com/inmueble/87346657/
4,Calle del Dos de Maig,1,es,,flat,Sant Martí,True,,3,False,False,False,True,True,41.4093521,2.1795298,Barcelona,El Camp de l'Arpa del Clot,False,,26,sale,,,,275000.0,3438.0,88695386,flat,Barcelona,2,False,80.0,good,"El Camp de l'Arpa del Clot, Barcelona",Piso en Calle del Dos de Maig,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/f5/7e/752919436.jpg,https://www.idealista.com/inmueble/88695386/
5,barrio La Font de la Guatlla,2,es,,flat,Sants-Montjuïc,True,SBA206,en,False,False,True,False,False,41.3668328,2.1388646,Barcelona,La Font de la Guatlla,False,,18,sale,,,,315000.0,3663.0,88695283,flat,Barcelona,3,False,86.0,good,"La Font de la Guatlla, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/91/bc/07/752917010.jpg,https://www.idealista.com/inmueble/88695283/
6,Gran Via de les Corts Catalanes,2,es,,flat,Eixample,True,P-746,1,False,False,True,False,False,41.3781467,2.1512926,Barcelona,Sant Antoni,False,,24,sale,,,,695000.0,5890.0,88695080,flat,Barcelona,3,False,118.0,good,"Sant Antoni, Barcelona",Piso en Gran Via de les Corts Catalanes,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/d2/15/752912402.jpg,https://www.idealista.com/inmueble/88695080/
7,Calle de Xifré,1,es,,flat,Sant Martí,True,DV-X220,1,False,False,True,False,False,41.4086186,2.1801496,Barcelona,El Camp de l'Arpa del Clot,False,,19,sale,,,,220000.0,4000.0,88694893,flat,Barcelona,2,False,55.0,good,"El Camp de l'Arpa del Clot, Barcelona",Piso en Calle de Xifré,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e9/76/eb/752906709.jpg,https://www.idealista.com/inmueble/88694893/
8,Calle de Rocafort,1,es,,flat,Eixample,False,B-000181,1,False,False,True,True,False,41.3762186,2.1585346,Barcelona,Sant Antoni,False,,6,sale,,,,339000.0,6278.0,88695074,flat,Barcelona,2,False,54.0,good,"Sant Antoni, Barcelona",Piso en Calle de Rocafort,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/51/86/7f/752911935.jpg,https://www.idealista.com/inmueble/88695074/
9,"Calle de Simancas, 87",1,es,,flat,Nou Barris,True,B13201-M,2,False,False,True,False,False,41.4451869,2.1727832,Barcelona,Les Roquetes - Canyelles,False,,14,sale,,,,110000.0,2200.0,88695069,flat,Barcelona,3,True,50.0,good,"Les Roquetes - Canyelles, Barcelona","Piso en Calle de Simancas, 87",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/20/30/752911590.jpg,https://www.idealista.com/inmueble/88695069/
10,"Calle de Sant Antoni Maria Claret, 502",2,es,,flat,Sant Andreu,True,123,en,False,False,True,True,True,41.4213353,2.1880782,Barcelona,La Sagrera,False,,38,sale,,,,260000.0,3171.0,88694996,flat,Barcelona,4,True,82.0,renew,"La Sagrera, Barcelona","Piso en Calle de Sant Antoni Maria Claret, 502",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/36/55/752908930.jpg,https://www.idealista.com/inmueble/88694996/
11,Calle del Dos de Maig,1,es,,flat,Eixample,True,P3-SANTPAU,3,False,False,False,False,True,41.4130921,2.1767936,Barcelona,La Sagrada Família,False,,25,sale,,,,275000.0,3618.0,88695015,flat,Barcelona,2,False,76.0,good,"La Sagrada Família, Barcelona",Piso en Calle del Dos de Maig,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/ed/1a/752909533.jpg,https://www.idealista.com/inmueble/88695015/
12,Calle de Santa Rosalia,1,es,,flat,Horta Guinardó,True,,1,False,False,False,False,False,41.4236653,2.1491654,Barcelona,La Teixonera,False,,9,sale,,,,298000.0,4082.0,88694875,flat,Barcelona,3,False,73.0,good,"La Teixonera, Barcelona",Piso en Calle de Santa Rosalia,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/ff/b5/752906491.jpg,https://www.idealista.com/inmueble/88694875/
